reg,yob,yd,ybob,dis1,mr,ul,eko,mam,her,amb
b_anadolu,33.2,4.3,4.8,5769,13.4,69.1,32.4,13.3,225.2,22239
od_anadolu,29.9,3.4,4.8,8136,9.2,58.3,28.2,8.1,159.3,10369
o_anadolu,30.9,3.5,4.6,7556,9.3,67.2,32,10.3,262.7,10613
tr,28.3,3.2,4.6,7931,11.2,71.3,30.7,11.8,211.3,16701
istanbul,26.1,2.3,4.8,11079,12.5,93.3,35.8,13.9,179.4,32404
d_karadeniz,32.2,4,3.9,7936,10.7,66.6,32.4,13.2,258.2,9409
b_karadeniz,31.5,4.3,4.3,6169,8.1,56.5,29.9,10.7,290.7,10729
b_marmara,29.4,3.3,5.2,6635,10.6,69.2,28,13.2,225.5,13835
kd_anadolu,29.4,3.3,3.3,6975,10.9,67.4,30.3,8.6,171.9,7273
akdeniz,28.8,3.1,5.6,9374,13.5,67.7,30.8,13.4,223.2,19266
ege,28.8,3.1,4,7911,11.1,75.2,30.1,12.3,256,18675
d_marmara,25.5,2.7,4.1,7936,10.3,60.2,30.7,10.2,219.8,19871
gd_anadolu,23.2,3.3,5.1,9001,8.7,64.1,23.1,8.4,125.5,16694
